,species,tribe,subtribe,genus,Argentina,Belize,Bolivia,Brazil,Canada,CaymanIslands,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,French Guiana,Guadeloupe,Guatemala,Grenada,Guyana,Haiti,Honduras,Jamaica,Martinica,Mexico,Nicaragua,Panama,Paraguay,PuertoRico,Peru,Suriname,TrinidadTobago,Uruguay,USA,Venezuela,VirginIslands,act.di,act.noct,act.crep,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,exta,peri,intra,wild,semi.domestic,domestic,bites.man,bites.mammals,order.notes,seas.wint,seas.summ,lifespan,gonotrophic,cl.size,citations,labrum.length,Labrumepipharynx.length,labruml_wingl,A3_wingl,no.lat.teeth,no.ven.teeth,no.cib.teeth,dental.depth,wing.length,wingl_wingw,wing.width,A3,temp,temp.range,temp.var,rainfall,elevation,flii,wind.speed,canopy,ghm,tree.cover,crops.cover,grass.cover,shrub.cover,urban.cover,water.perm.cover,water.seas.cover,evi,ecoregion.breadth,synarthropy,max.shape,hypo.teeth
31,Brumptomyia spinosipes,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,1,armadillo,,,,,,0,0.28,,0.11,0.37,6,15,,0.07,2.63,3.2,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
32,Brumptomyia travassosi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,0,0.18,,0.08,0.14,4,15,,0.08,2.3,3.1,,,26.334375,8.003173828,0.381496955,223.6679941,42,0,3.136272696,0,0.577887654,27.2,0,42.8,19.4,10,0,0,5096.569565,1,,sabre,spiculate
33,Brumptomyia troglodytes,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,armadillo,0,1,,,,4,,,,,,,,,,,,,20.62215576,17.25125122,4.127293249,94.45650131,1168.5,5458.5,1.311326426,8.5,0.488902137,68.7,0,18.2,13.1,0,0,0,3554.423913,2,7.01,sabre,spiculate
34,Brumptomyia virgensi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
35,Oligodontomyia isopsi,Phlebotomini,Brumptomyiina,Oligodontomyia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,
36,Oligodontomyia oligodonta,Phlebotomini,Brumptomyiina,Oligodontomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35,,,,,,,,2.55,3.148148148,0.81,,,,,,,,,,,,,,,,,,,,,,
37,Oligodontomyia toroensis,Phlebotomini,Brumptomyiina,Oligodontomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.328,,,,,,,3.12,3.428571429,0.91,0.465,,,,,,,,,,,,,,,,,,,,,
38,Dampfomyia (Coromyia) aquilonia,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Dampfomyia (Coromyia) beltrani,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,"bats, rodents",,,,,,1,,,,,,,4,,,,,,26.40758667,14.68756104,3.213669754,100.176096,10,0,1.848406546,12,0.73293376,33.8,2.4,37.2,26.6,0,0,0,5562.76087,1,,,
40,Dampfomyia (Coromyia) deleoni,Phlebotomini,Lutzomyiina,Dampfomyia,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,0,0.26,,0.13,0.19,7.6,21.6,4,0.12,1.93,3.3,,,26.47207031,18.68991089,4.223641357,67.17590988,57,,1.862088941,10,0.545194626,63.6,0,9.4,27,0,0,0,4564.482609,1,,spear,spiculate
41,Dampfomyia (Coromyia) disneyi,Phlebotomini,Lutzomyiina,Dampfomyia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Dampfomyia (Coromyia) isovespertilionis,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
