species,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,wild,semi.domestic,domestic,bites.man,bites.mammals,A3_wingl,no.lat.teeth,wing.length,wingl_wingw,temp,temp.range,flii,canopy,ghm,evi,tribe_Phlebotomini,subtribe_Lutzomyiina,subtribe_Psychodopygina,genus_Bichromomyia,genus_Brumptomyia,genus_Dampfomyia,genus_Deanemyia,genus_Evandromyia,genus_Expapillata,genus_Hertigia,genus_Lutzomyia,genus_Martinsmyia,genus_Micropygomyia,genus_Migonemyia,genus_Nyssomyia,genus_Oligodontomyia,genus_Pintomyia,genus_Pressatia,genus_Psathyromyia,genus_Psychodopygus,genus_Sciopemyia,genus_Trichophoromyia,genus_Trichopygomyia,genus_Viannamyia,genus_Warileya,maxshape_spear,hypoteeth_rough,hypoteeth_smooth,hypoteeth_spiculate,log.citations,log.labrum.length,log.no.ven.teeth,log.no.cib.teeth,log.rainfall,log.wind.speed,log.tree.cover,log.crops.cover,log.grass.cover,log.urban.cover,log.water.perm.cover,log.water.seas.cover,log.ecoregion.breadth,leish
Pressatia choti,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.13,5.0,1.92,3.2,25.26240184,13.0672226,4670.0,14.04166667,0.409498408,3824.464484,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.79192612200738,-1.38230233985035,3.17809549614658,1.3865443298751,5.02364237275443,0.492402805994667,3.58377816402093,1.6146244391214,3.12020400106483,3.34260264280111,-6.90775527898214,-0.873071611956094,2.19733568227495,0.0
Pressatia duncanae,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,,,,,,,,,,0.0
Pressatia dysponeta,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.12,4.0,1.92,3.4,25.5392395,6.775695801,88.0,25.0,0.326099962,4879.234783,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0009995003330834,-1.42295834549148,3.13553769324487,1.3865443298751,5.62714110174074,0.697836561207541,4.0604602517771,-6.90775527898214,2.96532461113257,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Pressatia equatorialis,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.13,7.0,2.24,3.0,24.18239746,16.76161194,,7.25,0.73265399,2472.059783,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-6.90775527898214,-1.26940060964839,3.29587390235551,1.3865443298751,4.45535905471837,0.105775282730071,2.93124708432758,2.4160030600296,3.57377719695778,3.12460910047488,-6.90775527898214,0.916690651895482,0.693647055601596,0.0
Pressatia triacantha,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.13,4.5,1.95,3.2,25.22091064,14.74494425,2022.0,24.33333333,0.230987258,4314.42029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0009995003330834,-1.34323487165944,3.23871766708174,1.3865443298751,5.06376260810785,-0.377516687758107,3.63761247516961,-0.913793851675568,3.59276311602632,2.73009432286835,-6.90775527898214,-6.90775527898214,0.693647055601596,0.0
Pressatia trispinosa,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,26.50096029,9.810577393,0.0,8.333333333,0.546453928,2236.150564,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,5.29010656196138,0.754590848513558,4.30946938260893,-6.90775527898214,2.83327216585559,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.693647055601596,0.0
Sciopemyia fluviatilis,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,0.21,10.0,2.12,3.3,26.80967102,9.069534302,4706.0,5.0,0.440698594,4606.652174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-6.90775527898214,-1.65548185093551,2.99578227230403,,5.11933885893299,1.1936364554534,4.50425532928385,-6.90775527898214,1.74064159804944,0.406131552651325,-6.90775527898214,-6.90775527898214,0.693647055601596,0.0
Sciopemyia microps,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.09894556645823,,,,,,,,,,,,,0.0
Sciopemyia nematoducta,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,25.16809998,16.47538757,0.0,27.5,0.123080578,5090.558696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.90775527898214,,,,5.08546445327494,-0.406183630183336,3.87745226437795,-6.90775527898214,3.70870659091368,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Sciopemyia pennyi,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
